indicatorId,geoUnit,year,type,subtype,value
LR.AG15T99,ARM,2016,Data Status,Data reporting,"Literacy definition:
A literate person has primary education, or can read and write on more simple concepts in any language. For those without primary education, additional question was asked - Are youliterate?  Yes, No. 
The definition of literate provid"
LR.AG15T99,ARM,2016,Source,Data sources,Source: Population Census
LR.AG15T99,ARM,2017,Data Status,Data reporting,"Literacy definition:
A literate person has primary education or can read and write simple concepts in any language. 
For those with no primary education, ask: - Are you literate? Yes, No
Description: Literate were considered the persons who can read and u"
LR.AG15T99,ARM,2017,Source,Data sources,Source: Administrative records and register based national estimates
LR.AG15T99,ARM,2018,Source,Data sources,"UIS based on LFS - Household Labour Force Survey: ILO Harmonized Microdata, https://ilostat.ilo.org/. Respondents aged 6+ were classified as literate or not based on their highest completed education. Illiterate was coded as not literate; all other education levels (No primary, Primary, Basic, Secondary / high, Vocational, Secondary, Bachelor's, Master's, Certified specialist, Post-graduate) were coded as literate."
LR.AG15T99,ARM,2019,Source,Data sources,"UIS based on LFS - Household Labour Force Survey: ILO Harmonized Microdata, https://ilostat.ilo.org/. Respondents aged 6+ were classified as literate or not based on their highest completed education. Illiterate was coded as not literate; all other education levels (No primary, Primary, Basic, Secondary / high, Vocational, Secondary, Bachelor's, Master's, Certified specialist, Post-graduate) were coded as literate."
LR.AG15T99,ARM,2020,Data Status,Data reporting,"Literacy definition:
A literate person has primary education or can read and write simple concepts in any language. 
For those with no primary education, ask: - Are you literate? Yes, No
Description: Literate were considered the persons who can read and u"
LR.AG15T99,ARM,2020,Source,Data sources,Source: Administrative records and register based national estimates
LR.AG15T99,ARM,2022,Source,Data sources,Armenia Labour Force Survey (LFS) 2022. Respondents 6 years of age and above were asked to declare their highest level of education. All those who indicated having attended some schooling and not being illiterate have been considered as literate. Literacy status was imputed via a statistical model for older age groups not covered by the assessment.
LR.AG15T99,ARM,2023,Source,Data sources,Armenia Labour Force Survey (LFS) 2023. Respondents 6 years of age and above were asked to declare their highest level of education. All those who indicated having attended some schooling and not being illiterate have been considered as literate. Literacy status was imputed via a statistical model for older age groups not covered by the assessment.
LR.AG15T99,ATG,2001,Data Status,Data reporting,"Literacy definition:
..."
LR.AG15T99,ATG,2001,Source,Data sources,Source: Population Census
LR.AG15T99,AZE,2007,Data Status,Data reporting,"Literacy definition:
Literate are considered the persons who can read and write with understanding in any language having written form."
LR.AG15T99,AZE,2007,Source,Data sources,Source: Household Survey
LR.AG15T99,AZE,2009,Data Status,Data reporting,"Literacy definition:
Literacy test: respondent was asked to read, understand and write a short story regarding his/her routine life."
LR.AG15T99,AZE,2009,Source,Data sources,Source: Population Census
LR.AG15T99,AZE,2010,Data Status,Data reporting,"Literacy definition:
Data are estimated based on the census 2009 by the country:"
LR.AG15T99,AZE,2010,Source,Data sources,Source: Administrative records and register based national estimates
LR.AG15T99,AZE,2011,Data Status,Data reporting,"Literacy definition:
Data are estimated based on the census 2009 by the country."
LR.AG15T99,AZE,2011,Source,Data sources,Source: Administrative records and register based national estimates
LR.AG15T99,AZE,2012,Data Status,Data reporting,"Literacy definition:
Data are estimated based on the census 2009 by the country."
LR.AG15T99,AZE,2012,Source,Data sources,Source: Administrative records and register based national estimates
LR.AG15T99,AZE,2013,Data Status,Data reporting,"Literacy definition:
Data are estimated based on the census 2009 by the country."
LR.AG15T99,AZE,2013,Source,Data sources,Source: Administrative records and register based national estimates
LR.AG15T99,AZE,2014,Data Status,Data reporting,"Literacy definition:
Data are estimated based on the census 2009 by the country."
LR.AG15T99,AZE,2014,Source,Data sources,Source: Administrative records and register based national estimates
LR.AG15T99,AZE,2015,Data Status,Data reporting,"Literacy definition:
Data are estimated based on the census 2009 by the country."
LR.AG15T99,AZE,2015,Source,Data sources,Source: Administrative records and register based national estimates
LR.AG15T99,AZE,2016,Data Status,Data reporting,"Literacy definition:
Data are estimated based on the census 2009 by the country."
LR.AG15T99,AZE,2016,Source,Data sources,Source: Administrative records and register based national estimates
LR.AG15T99,AZE,2017,Data Status,Data reporting,"Literacy definition:
Literacy test"
LR.AG15T99,AZE,2017,Source,Data sources,Source: Population Census based estimates
LR.AG15T99,AZE,2019,Data Status,Data reporting,"Literacy definition:
Literacy test"
LR.AG15T99,AZE,2019,Source,Data sources,Source: Population Census
LR.AG15T99,AZE,2023,Data Status,Data reporting,"Literacy definition:
Literacy test"
LR.AG15T99,AZE,2023,Source,Data sources,Source: Population Census based estimates
LR.AG15T99,BDI,2000,Data Status,Data reporting,"Literacy definition:
Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper."
LR.AG15T99,BDI,2000,Source,Data sources,Source: Multiple Indicator Cluster Survey (UNICEF MICS2)
LR.AG15T99,BDI,2008,Data Status,Data reporting,"Literacy definition:
What is the language that [name of respondent 10 years and over] can read and write?"
LR.AG15T99,BDI,2008,Source,Data sources,Source: Population Census
LR.AG15T99,BDI,2014,Data Status,Data reporting,"Literacy definition:
Can (NAME) read a simple sentence in French or English or Kirundi or Swahili or other languages?"
LR.AG15T99,BDI,2014,Source,Data sources,"Source: Modular Survey on Living Conditions of Households, Manpower, Nutrition and Social Protection in Burundi (ECVMB)"
LR.AG15T99,BDI,2016,Source,Data sources,Burundi DHS 2016-17. A literacy test was administered to women aged 15-49 and men aged 15-59 whose highest level of educational attendance was upper secondary schooling or lower. The test consisted of an enumerator administered assessment on the ability of the respondent to read a short and simple sentence. Those who could partially or fully read the sentence are considered literate. Respondents above the educational attainment threshold for whom the test was not administered were imputed as literate. Literacy status was imputed via a statistical model for older age groups not covered by the assessment.
LR.AG15T99,BDI,2017,Data Status,Data reporting,"Literacy definition:
Can (NAME) read and write a simple sentence in

i) French,

ii) Kirundi,

iii) other languages?"
LR.AG15T99,BDI,2017,Source,Data sources,Source: Household Life Conditions Survey
LR.AG15T99,BDI,2020,Source,Data sources,"UIS based on HIES - Living Standards Survey: ILO Harmonized Microdata, https://ilostat.ilo.org/. Respondents aged 3 and above were asked to self-assess their literacy through two separate questions: first, whether they could read a short text, and second, whether they could write a short text, in each of the following languages: Kirundi, French, English, Swahili, or another language, responding yes or no to each question."
LR.AG15T99,BEN,2002,Data Status,Data reporting,"Literacy definition:
A person is literate who can, with understanding, both read and write a short simple statement on his or her everyday life."
LR.AG15T99,BEN,2002,Source,Data sources,Source: Population Census
LR.AG15T99,BEN,2011,Source,Data sources,"UIS based on HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions: ILO Harmonized Microdata, https://ilostat.ilo.org/. Respondents aged 3 years and above were classified as literate or not based on their self-assessed ability to read and write a short text in French and/or national languages. Those who reported being able to read and write in French, in national languages, or in both were coded as literate, while those who reported being unable to read or write in either language were coded as not literate."
LR.AG15T99,BEN,2013,Data Status,Data reporting,"Literacy definition:
The question relative to this variable only concerns those of 6 or more years of age.
Literacy is a persons' ability to read and write, while understanding, a text on daily events in any language [national language, foreign language]."
LR.AG15T99,BEN,2013,Source,Data sources,Source: IPUMS data
LR.AG15T99,BEN,2017,Source,Data sources,Benin DHS 2017-18. A literacy test was administered to women aged 15-49 and men aged 15-64 whose highest level of educational attendance was upper secondary schooling or lower. The test consisted of an enumerator administered assessment on the ability of the respondent to read a short and simple sentence. Those who could partially or fully read the sentence are considered literate. Respondents above the educational attainment threshold for whom the test was not administered were imputed as literate. Literacy status was imputed via a statistical model for older age groups not covered by the assessment.
