source_id,source_name,source_url,event_date,country_codes,actors,event_type,confidence,notes
129:nonaggression_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1926-09-28,RUS,Lithuania,nonaggression_pact,,end_date=1939-10-10
135:nonaggression_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1928-05-25,TUR,Afghanistan,nonaggression_pact,,end_date=1948-05-25
136:neutrality_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1928-05-30,TUR,Turkey,neutrality_pact,,end_date=1935-11-18
137:nonaggression_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1928-08-02,ETH,Ethiopia,nonaggression_pact,,end_date=1935-10-03
139:neutrality_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1929-01-05,TUR,Turkey,neutrality_pact,,end_date=1945-01-20
140:neutrality_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1929-03-06,TUR,Turkey,neutrality_pact,,end_date=1939-12-03
142:neutrality_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1930-02-03,TUR,Turkey,neutrality_pact,,end_date=1940-06-22
144:neutrality_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1930-10-30,TUR,Turkey,neutrality_pact,,end_date=1941-04-23
145:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1932-01-21,RUS,Finland,alliance,,end_date=1939-11-28
146:nonaggression_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1932-02-05,RUS,Latvia,nonaggression_pact,,end_date=1939-10-05
147:nonaggression_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1932-05-04,RUS,Estonia,nonaggression_pact,,end_date=1939-09-28
148:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1932-07-25,RUS,Russia,alliance,,end_date=1939-09-17
149:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1932-11-29,RUS,Russia,alliance,,end_date=1935-05-02
150:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1933-09-02,RUS,Russia,alliance,,end_date=1941-06-22
151:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1933-10-17,TUR,Turkey,alliance,,end_date=1944-08-31
152:nonaggression_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1933-11-27,TUR,Turkey,nonaggression_pact,,end_date=1941-04-20
154:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1934-02-09,TUR,Turkey,alliance,,end_date=1940-10-28
156:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1934-05-20,SAU,Yemen Arab Republic,alliance,,end_date=1962-11-06
159:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1935-05-02,RUS,Russia,alliance,,end_date=1939-09-03
160:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1935-05-16,RUS,Russia,alliance,,end_date=1939-03-15
161:defense_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1936-03-12,RUS,Mongolia,defense_pact,,end_date=1991-12-25
162:entente,Correlates of War,https://correlatesofwar.org/data-sets/,1936-04-02,SAU,Saudi Arabia,entente,,end_date=1956-04-02
165:entente,Correlates of War,https://correlatesofwar.org/data-sets/,1936-12-23,USA,Uruguay,entente,,end_date=1945-03-23
162:entente,Correlates of War,https://correlatesofwar.org/data-sets/,1937-04-29,SAU,Yemen Arab Republic,entente,,end_date=1956-04-02
163:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1937-05-26,EGY,United Kingdom,alliance,,end_date=1951-10-08
163:entente,Correlates of War,https://correlatesofwar.org/data-sets/,1937-05-26,EGY,Egypt,entente,,end_date=1951-10-08
167:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1937-07-08,IRN,Afghanistan,alliance,,end_date=1955-02-24
