country_code,year,metric_id,value,unit,source_url,source_name,raw_record_id,calculation,notes,sample_size,question_wording,response_mapping
ETH,2020,willingness_to_fight_score,88.7938,score,https://www.worldvaluessurvey.org/,World Values Survey,3fecd8e63185cff4,country_pct_yes,Q151;wvs_wave=7,1169,Would you be willing to fight for your country?,1=yes 2=no; score=percent yes
IND,2023,attachment_to_country_score,3.5707,score,https://www.worldvaluessurvey.org/,World Values Survey,10348e66b2a99eeb,country_inverted_mean,Q257;wvs_wave=7,1675,Feel close to your country,1=very close to 4=not close at all; score=5-mean
IND,2023,national_pride_score,1.3020,score,https://www.worldvaluessurvey.org/,World Values Survey,4c0e852738a97520,country_mean,Q254;wvs_wave=7,1659,How proud are you to be of nationality of this country?,1=very proud to 4=not at all proud; exclude 5=not nationality
IND,2023,religious_identity_strength,2.7697,score,https://www.worldvaluessurvey.org/,World Values Survey,fd5792e232531940,country_inverted_mean,Q173;wvs_wave=7,1611,Are you a religious person?,1=religious 2=not religious 3=atheist; score=4-mean
IND,2023,social_trust_score,17.6859,score,https://www.worldvaluessurvey.org/,World Values Survey,5cdc639dd2e163d8,country_pct_yes,Q57;wvs_wave=7,1668,"Generally speaking, would you say that most people can be trusted?",1=most people can be trusted 2=need to be very careful; score=percent trusting
IND,2023,support_for_immigration,2.5305,score,https://www.worldvaluessurvey.org/,World Values Survey,be00a254e5d1cffb,country_inverted_mean,Q130;wvs_wave=7,1559,Immigration policy preference for people coming to work,1=let anyone come to 4=prohibit; score=5-mean
IND,2023,support_for_traditional_values,2.3110,score,https://www.worldvaluessurvey.org/,World Values Survey,57b55e0854013d2b,country_inverted_mean,Q45;wvs_wave=7,1582,Future changes: Greater respect for authority,1=good thing to 3=bad thing; score=4-mean
IND,2023,trust_courts_score,1.9344,score,https://www.worldvaluessurvey.org/,World Values Survey,6345eff59ff48df8,country_mean,Q70;wvs_wave=7,1662,Confidence: Justice System/Courts,1=great deal to 4=none at all
IND,2023,trust_government_score,2.2123,score,https://www.worldvaluessurvey.org/,World Values Survey,2f0ce26f2a51a473,country_mean,Q71;wvs_wave=7,1658,Confidence: The Government,1=great deal to 4=none at all
IND,2023,trust_military_score,1.5202,score,https://www.worldvaluessurvey.org/,World Values Survey,015471b444744b9d,country_mean,Q65;wvs_wave=7,1659,Confidence: Armed Forces,1=great deal to 4=none at all
IND,2023,trust_police_score,2.1172,score,https://www.worldvaluessurvey.org/,World Values Survey,df22d88e93076987,country_mean,Q69;wvs_wave=7,1681,Confidence: The Police,1=great deal to 4=none at all
IND,2023,willingness_to_fight_score,77.6471,score,https://www.worldvaluessurvey.org/,World Values Survey,069b4657cdb6e6df,country_pct_yes,Q151;wvs_wave=7,1530,Would you be willing to fight for your country?,1=yes 2=no; score=percent yes
IRN,2020,attachment_to_country_score,3.7691,score,https://www.worldvaluessurvey.org/,World Values Survey,21d43d5db83f7396,country_inverted_mean,Q257;wvs_wave=7,1490,Feel close to your country,1=very close to 4=not close at all; score=5-mean
IRN,2020,national_pride_score,1.2196,score,https://www.worldvaluessurvey.org/,World Values Survey,fbb6ac806b37c1cd,country_mean,Q254;wvs_wave=7,1480,How proud are you to be of nationality of this country?,1=very proud to 4=not at all proud; exclude 5=not nationality
IRN,2020,religious_identity_strength,2.8292,score,https://www.worldvaluessurvey.org/,World Values Survey,6467d49f3d304960,country_inverted_mean,Q173;wvs_wave=7,1481,Are you a religious person?,1=religious 2=not religious 3=atheist; score=4-mean
IRN,2020,social_trust_score,14.8396,score,https://www.worldvaluessurvey.org/,World Values Survey,bde2bbc741c684c0,country_pct_yes,Q57;wvs_wave=7,1496,"Generally speaking, would you say that most people can be trusted?",1=most people can be trusted 2=need to be very careful; score=percent trusting
IRN,2020,support_for_immigration,2.3010,score,https://www.worldvaluessurvey.org/,World Values Survey,322f06d737a32754,country_inverted_mean,Q130;wvs_wave=7,1485,Immigration policy preference for people coming to work,1=let anyone come to 4=prohibit; score=5-mean
IRN,2020,support_for_traditional_values,2.2334,score,https://www.worldvaluessurvey.org/,World Values Survey,97a55e1d59042cb8,country_inverted_mean,Q45;wvs_wave=7,1487,Future changes: Greater respect for authority,1=good thing to 3=bad thing; score=4-mean
